Product Name,Category,Price,Stock,SKU,Supplier
Wireless Headphones,Electronics,89.99,120,WH-1042,SoundGear
Mechanical Keyboard,Electronics,149.00,45,MK-0388,KeyMaster
Standing Desk Mat,Office,34.50,200,SDM-773,ComfortCo
USB-C Hub 7-in-1,Electronics,49.99,88,UC-2211,TechLink
Ergonomic Mouse,Electronics,62.00,60,EM-4490,KeyMaster
Notebook A5 Hardcover,Stationery,12.99,500,NA-0021,PaperCo
Blue Light Glasses,Accessories,28.00,150,BLG-305,VisionPlus
Cable Management Kit,Office,18.50,300,CMK-119,TechLink
Monitor Arm Dual,Electronics,95.00,30,MA-6672,ArmTech
Desk Lamp LED,Office,41.00,75,DL-8834,LightUp
Laptop Stand Aluminum,Electronics,55.00,110,LS-2200,ArmTech
Whiteboard 90x60,Office,79.99,22,WB-0044,BoardPro
Sticky Notes Bulk Pack,Stationery,8.99,800,SN-1100,PaperCo
Webcam 1080p,Electronics,69.00,55,WC-3341,SoundGear
Chair Cushion Memory Foam,Office,44.99,90,CC-5512,ComfortCo
